datahora,favor,contra
2016-09-04 02:50:21,116663,11286
2016-09-04 02:50:53,116668,11286
2016-09-04 02:51:24,116670,11286
2016-09-04 02:51:56,116677,11287
2016-09-04 02:52:28,116684,11287
2016-09-04 02:52:59,116689,11287
2016-09-04 02:53:31,116695,11287
2016-09-04 02:54:05,116701,11287
2016-09-04 02:54:37,116709,11287
2016-09-04 02:55:08,116713,11288
2016-09-04 02:55:40,116720,11288
2016-09-04 02:56:12,116721,11289
2016-09-04 02:56:43,116728,11289
2016-09-04 02:57:15,116736,11289
2016-09-04 02:57:46,116740,11289
2016-09-04 02:59:07,116750,11289
2016-09-04 02:59:39,116755,11291
2016-09-04 03:00:10,116763,11291
2016-09-04 03:00:42,116768,11291
2016-09-04 03:01:13,116776,11291
2016-09-04 03:01:44,116781,11291
2016-09-04 03:02:16,116788,11291
2016-09-04 03:02:47,116794,11291
2016-09-04 03:03:18,116799,11291
2016-09-04 03:03:50,116806,11291
2016-09-04 03:04:22,116812,11291
2016-09-04 03:04:53,116817,11291
2016-09-04 03:05:24,116824,11291
2016-09-04 03:05:56,116828,11291
2016-09-04 03:06:27,116833,11293
2016-09-04 03:06:59,116844,11293
2016-09-04 03:07:31,116846,11294
2016-09-04 03:08:03,116851,11294
2016-09-04 03:08:34,116854,11294
2016-09-04 03:09:06,116863,11295
2016-09-04 03:09:37,116869,11295
2016-09-04 03:10:09,116875,11295
2016-09-04 03:10:40,116878,11295
2016-09-04 03:11:11,116889,11295
2016-09-04 03:11:42,116895,11295
2016-09-04 03:12:15,116905,11295
2016-09-04 03:12:46,116912,11295
2016-09-04 03:13:18,116916,11296
2016-09-04 03:13:50,116919,11296
2016-09-04 03:14:21,116925,11296
2016-09-04 03:14:53,116929,11296
2016-09-04 03:15:24,116931,11296
2016-09-04 03:15:56,116941,11297
2016-09-04 03:16:27,116949,11297
2016-09-04 03:16:58,116954,11297
2016-09-04 03:17:30,116961,11297
2016-09-04 03:18:01,116968,11297
2016-09-04 03:18:33,116968,11297
2016-09-04 03:19:19,116977,11298
2016-09-04 03:19:50,116986,11299
2016-09-04 03:20:21,116989,11299
2016-09-04 03:20:53,116995,11299
2016-09-04 03:21:24,117006,11300
2016-09-04 03:21:55,117008,11300
2016-09-04 03:22:27,117010,11301
2016-09-04 03:22:58,117020,11301
2016-09-04 03:23:30,117027,11301
2016-09-04 03:24:01,117027,11301
2016-09-04 03:24:32,117030,11301
2016-09-04 03:25:04,117041,11301
2016-09-04 03:25:35,117041,11301
2016-09-04 03:26:06,117056,11301
2016-09-04 03:26:38,117056,11301
2016-09-04 03:27:09,117059,11301
2016-09-04 03:27:40,117065,11301
2016-09-04 03:28:12,117075,11301
2016-09-04 03:28:43,117082,11301
2016-09-04 03:29:15,117086,11301
2016-09-04 03:29:46,117091,11301
2016-09-04 03:30:18,117095,11301
2016-09-04 03:30:50,117097,11302
2016-09-04 03:31:21,117100,11302
2016-09-04 03:31:52,117103,11302
2016-09-04 03:32:24,117107,11302
2016-09-04 03:32:55,117111,11302
2016-09-04 03:33:27,117115,11302
2016-09-04 03:33:58,117118,11302
2016-09-04 03:34:29,117122,11302
2016-09-04 03:35:01,117127,11302
2016-09-04 03:35:34,117129,11303
2016-09-04 03:36:06,117132,11304
2016-09-04 03:36:37,117134,11304
2016-09-04 03:37:08,117136,11305
2016-09-04 03:37:40,117144,11305
2016-09-04 03:38:11,117146,11305
2016-09-04 03:38:42,117149,11305
2016-09-04 03:39:14,117159,11306
2016-09-04 03:40:35,117166,11306
2016-09-04 03:41:07,117170,11306
2016-09-04 03:41:38,117175,11306
2016-09-04 03:42:09,117178,11306
2016-09-04 03:42:41,117182,11306
2016-09-04 03:43:13,117184,11306
2016-09-04 03:43:44,117187,11306
2016-09-04 03:44:15,117190,11306
2016-09-04 03:44:47,117194,11306
2016-09-04 03:45:18,117199,11306
2016-09-04 03:45:49,117202,11306
2016-09-04 03:46:21,117208,11306
2016-09-04 03:46:52,117211,11307
2016-09-04 03:47:23,117214,11307
2016-09-04 03:47:55,117219,11307
2016-09-04 03:48:26,117224,11307
2016-09-04 03:48:57,117226,11307
